id,action_flow_id,action_flow_des,intention_1,intention_2,act_seq_start,act_seq_end,ob_start_frame,ob_end_frame,ob_act_seq,future_act_seq,scene
Q0IHP,c147 0.00 23.70;c156 16.00 21.90;c119 20.50 26.30;c110 22.70 27.40;c106 22.70 32.50;c107 22.80 34.20;c109 28.80 33.90;c009 29.00 33.70,Someone is cooking something;Someone is eating something;Putting a dish/es somewhere;Taking a cup/glass/bottle from somewhere;Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Putting a cup/glass/bottle somewhere;Putting something on a table,make soup;S/He wants to prepare a meal,have a meal;S/He is hungry,0,34.2,1,164,Someone is cooking something,Someone is eating something;Putting a dish/es somewhere;Taking a cup/glass/bottle from somewhere;Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something;Putting a cup/glass/bottle somewhere;Putting something on a table,Kitchen
LRJKT,c110 0.00 5.50;c107 0.00 14.30;c106 0.70 12.80;c109 9.30 14.70,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere,read a book;S/He wants to learn something new,drink water;S/He is thirsty,0,14.7,1,70,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,Putting a cup/glass/bottle somewhere,Closet / Walk-in closet / Spear closet
LXLW4,c110 26.20 38.00;c109 28.00 38.00;c106 28.20 38.00;c107 28.40 38.00,Taking a cup/glass/bottle from somewhere;Putting a cup/glass/bottle somewhere;Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something,drink some water;S/He is thirsty,drink water;S/He is thirsty,26.2,38,629,685,Taking a cup/glass/bottle from somewhere;Putting a cup/glass/bottle somewhere;Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something,,Living room
WAOE7,c063 0.00 4.90;c069 0.00 6.90;c061 0.50 10.90;c062 4.30 11.50;c064 6.40 13.30;c068 6.70 11.00,Taking food from somewhere;Taking a sandwich from somewhere;Holding some food;Putting some food somewhere;Throwing food somewhere;Putting a sandwich somewhere,make burger;S/He wants to prepare a meal,take a sandwich from somewhere;S/He wants to arrange the sandwich,0,13.3,1,63,Taking food from somewhere;Taking a sandwich from somewhere;Holding some food,Putting some food somewhere;Throwing food somewhere;Putting a sandwich somewhere,Kitchen
0IAGO,c151 1.00 6.00;c059 1.00 11.70;c154 7.20 14.50;c060 10.00 15.00,Someone is going from standing to sitting;Sitting in a chair;Someone is standing up from somewhere;Standing on a chair,stand on a chair after standing up;S/He wants to fix the light,stand on the chair and sit;S/He wants to check the light,1,15,25,91,Someone is going from standing to sitting;Sitting in a chair,Someone is standing up from somewhere;Standing on a chair,Dining room
WH1S5,c069 6.80 11.50;c061 7.50 27.30;c067 8.10 27.70;c065 8.40 25.20;c156 8.40 25.50;c068 23.10 28.80,Taking a sandwich from somewhere;Holding some food;Holding a sandwich;Eating a sandwich;Someone is eating something;Putting a sandwich somewhere,eat a sandwich;S/He is hungry,take a sandwich from table and eat;S/He is hungry,6.8,28.8,164,268,Taking a sandwich from somewhere;Holding some food;Holding a sandwich;Eating a sandwich;Someone is eating something,Putting a sandwich somewhere,Kitchen
GV9M4,c109 5.70 28.3;c110 8.30 28.0;c107 10.00 27.90;c106 12.40 17.00,Putting a cup/glass/bottle somewhere;Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,drink water;S/He is thirsty,drink water;S/He is thirsty,5.7,28.3,137,245,Putting a cup/glass/bottle somewhere;Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something,Drinking from a cup/glass/bottle,Entryway (A hall that is generally located at the entrance of a house)
PRV4N,c110 2.70 8.70;c107 3.00 17.00;c106 10.10 15.60;c109 11.60 18.30,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere,drink some water;S/He is thirsty,drink some water while read a notebook;S/He is thirsty,2.7,18.3,65,139,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something,Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere,Home Office / Study (A room in a house used for work)
MLBTH,c063 9.50 15.60;c061 10.90 18.80;c156 15.90 32.00;c062 17.90 23.10,Taking food from somewhere;Holding some food;Someone is eating something;Putting some food somewhere,eat something;S/He is hungry,eat some food while playing a laptop;S/He wants to entertain himself/her/hisself,9.5,32,229,336,Taking food from somewhere;Holding some food,Someone is eating something;Putting some food somewhere,Living room
H2B7U,c070 0.00 3.40;c000 0.00 4.20;c071 0.00 5.40;c001 0.00 6.50;c005 0.00 8.00,Holding a blanket;Holding some clothes;Putting a blanket somewhere;Putting clothes somewhere;Washing some clothes,wash some clothes after putting it into washing machine;S/He wants to do the laundry,wash some clothes;S/He wants to do the laundry,0,8,1,38,Holding a blanket;Holding some clothes;Putting a blanket somewhere;Putting clothes somewhere;Washing some clothes,,Laundry room
PPXPA,c026 0.50 16.60;c032 1.00 32.00;c027 3.40 9.20;c028 6.00 15.70,Holding a book;Watching/Reading/Looking at a book;Opening a book;Putting a book somewhere,read book;S/He wants to relax,read a book;S/He wants to do some reading,0.5,32,13,163,Holding a book;Watching/Reading/Looking at a book;Opening a book;Putting a book somewhere,,Bedroom
ZS9XR,c151 0.20 5.80;c123 1.30 18.80;c154 14.80 20.00;c012 15.10 41.90;c013 32.60 43.20,Someone is going from standing to sitting;Sitting on sofa/couch;Someone is standing up from somewhere;Tidying up a table;Washing a table,eat food and tidy up the room;S/He is hungry and wants to do the laundry,clean the table;S/He wants to clean the room,0.2,43.2,5,211,Someone is going from standing to sitting;Sitting on sofa/couch,Someone is standing up from somewhere;Tidying up a table;Washing a table,Living room
1DGC9,c146 0.00 7.80;c078 0.00 14.80;c079 3.80 9.40;c076 6.80 25.00,Someone is awakening somewhere;Snuggling with a pillow;Taking a pillow from somewhere;Holding a pillow,get up and take a pillow to somewhere;S/He wants to relax,awake with a pillow and get out of room;S/He wants to get up and do something,0,25,1,120,Someone is awakening somewhere;Snuggling with a pillow;Taking a pillow from somewhere,Holding a pillow,Bathroom
WBJC3,c106 0.00 12.00;c109 1.80 7.70;c063 4.10 11.10;c061 4.50 15.00,Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere;Taking food from somewhere;Holding some food,drink a cup of water;S/He is thirsty,drink water;S/He is thirsty,0,15,1,72,Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere,Taking food from somewhere;Holding some food,Pantry
3PXGQ,c002 0.00 12.40;c000 0.20 11.00;c001 3.00 20.50;c148 4.80 19.80,Taking some clothes from somewhere;Holding some clothes;Putting clothes somewhere;Someone is dressing,wear a coat;S/He wants to get dressed,wear a jacket;S/He wants to get dressed,0,20.5,1,98,Taking some clothes from somewhere;Holding some clothes;Putting clothes somewhere,Someone is dressing,Entryway (A hall that is generally located at the entrance of a house)
9UU4W,c120 4.00 9.60;c107 5.10 32.00;c128 6.50 12.10;c062 7.90 15.50;c110 20.20 26.10,Taking a dish/es from somewhere;Holding a cup/glass/bottle of something;Holding some medicine;Putting some food somewhere;Taking a cup/glass/bottle from somewhere,tdy up the table;S/He wants to clean the room,clean the table;S/He wants to do housework,4,32,97,230,Taking a dish/es from somewhere;Holding a cup/glass/bottle of something;Holding some medicine;Putting some food somewhere,Taking a cup/glass/bottle from somewhere,Living room
N3SBJ,c067 0.00 32.00;c061 0.00 32.00;c156 16.10 22.00;c065 16.10 22.00,Holding a sandwich;Holding some food;Someone is eating something;Eating a sandwich,eat sandwich and sweep the floor;S/He is hungry and wants to do some cleaning,eat a sandwich;S/He is hungry,0,32,1,153,Holding a sandwich;Holding some food,Someone is eating something;Eating a sandwich,Dining room
42UH8,c107 0.00 27.00;c106 4.10 11.20;c061 8.80 17.70;c156 9.00 22.00,Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Holding some food;Someone is eating something,eat a something and drink water;S/He is hungry,eat something;S/He is hungry,0,27,1,129,Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,Holding some food;Someone is eating something,Hallway
1375X,c100 8.40 13.00;c127 8.40 29.00;c102 8.70 29.00;c098 21.00 28.00,Taking a broom from somewhere;Tidying something on the floor;Tidying up with a broom;Holding a broom,mop the floor with a broom;S/He wants to do some cleaning,sweep the floor;S/He wants to do cleaning,8.4,29,202,300,Taking a broom from somewhere;Tidying something on the floor;Tidying up with a broom,Holding a broom,Pantry
8ZPXA,c032 0.00 11.00;c026 0.00 11.00;c027 0.00 11.00;c025 2.80 7.10,Watching/Reading/Looking at a book;Holding a book;Opening a book;Closing a book,read book;S/He wants to relax,lie on the ground and read a book;S/He wants to learn something,0,11,1,52,Watching/Reading/Looking at a book;Holding a book;Opening a book,Closing a book,Bedroom
LQC89,c110 3.20 9.50;c107 3.90 14.20;c106 5.30 11.90;c109 7.90 14.20;c069 10.20 16.40;c063 10.80 17.80;c067 10.80 20.00;c065 11.10 20.00;c061 11.50 20.00;c156 12.40 20.00,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere;Taking a sandwich from somewhere;Taking food from somewhere;Holding a sandwich;Eating a sandwich;Holding some food;Someone is eating something,have a meal;S/He is hungry,drink water and eat food;S/He is thirsty and hungry,3.2,20,77,157,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,Putting a cup/glass/bottle somewhere;Taking a sandwich from somewhere;Taking food from somewhere;Holding a sandwich;Eating a sandwich;Holding some food;Someone is eating something,Living room
TZF0X,c020 1.10 9.10;c022 2.20 9.00;c024 3.20 9.20;c023 15.70 21.70,Holding a bag;Putting a bag somewhere;Throwing a bag somewhere;Taking a bag from somewhere,put the bag on the floor;S/He wants to free hands,take off shoes;S/He wants to have a rest,1.1,21.7,27,125,Holding a bag;Putting a bag somewhere;Throwing a bag somewhere,Taking a bag from somewhere,Entryway (A hall that is generally located at the entrance of a house)
HVFXT,c147 0.00 23.90;c156 9.00 15.50;c143 16.60 23.90;c142 28.80 34.00,Someone is cooking something;Someone is eating something;Opening a refrigerator;Closing a refrigerator,cook something;S/He wants to prepare a meal,taste the food while cooking;S/He wants to prepare a meal,0,34,1,163,Someone is cooking something,Someone is eating something;Opening a refrigerator;Closing a refrigerator,Kitchen
NDLY5,c078 0.00 8.10;c076 0.00 14.10;c134 0.00 14.50;c146 4.40 16.80;c080 9.60 16.50,Snuggling with a pillow;Holding a pillow;Lying on a bed;Someone is awakening somewhere;Throwing a pillow somewhere,get up from bed;S/He wants to wake up,throw the pillow after awaking;S/He wants to get up from bed,0,16.8,1,80,Snuggling with a pillow;Holding a pillow;Lying on a bed,Someone is awakening somewhere;Throwing a pillow somewhere,Bedroom
JTXAM,c026 0.00 17.80;c032 0.00 19.40;c029 13.00 17.80;c025 13.80 19.10,Holding a book;Watching/Reading/Looking at a book;Smiling at a book;Closing a book,hold a book and read it;S/He wants to learn something,read a book;S/He wants to do some reading,0,19.4,1,93,Holding a book;Watching/Reading/Looking at a book,Smiling at a book;Closing a book,Living room
FYDYO,c018 15.00 30.00;c016 15.80 30.00;c017 15.90 30.00;c015 16.90 30.00;c087 18.40 30.00,Taking a phone/camera from somewhere;Playing with a phone/camera;Putting a phone/camera somewhere;Holding a phone/camera;Taking a picture of something,take photoes of herself;S/He wants to feel satisfied,use a camera and take a photo;S/He wants to enjoy himself/her/hisself,15,30,361,432,Taking a phone/camera from somewhere;Playing with a phone/camera;Putting a phone/camera somewhere;Holding a phone/camera,Taking a picture of something,Pantry
PQUF6,c033 0.00 2.90;c035 0.00 3.00;c038 0.10 14.40;c034 2.70 7.40,Holding a towel/s;Taking a towel/s from somewhere;Washing something with a towel;Putting a towel/s somewhere,take a towel and wash something;S/He wants to clean something,wash towels;S/He wants to do some housework,0,14.4,1,69,Holding a towel/s;Taking a towel/s from somewhere;Washing something with a towel;Putting a towel/s somewhere,,Bathroom
TIS3Z,c143 0.00 5.60;c107 0.00 30.10;c118 0.00 34.00;c065 1.30 34.00;c067 1.50 12.90;c156 2.10 34.00;c109 13.00 31.10;c142 27.60 34.00,Opening a refrigerator;Holding a cup/glass/bottle of something;Holding a dish;Eating a sandwich;Holding a sandwich;Someone is eating something;Putting a cup/glass/bottle somewhere;Closing a refrigerator,eat a sandwich;S/He is hungry,put a cup into refrigerator;S/He wants to cool water,0,34,1,163,Opening a refrigerator;Holding a cup/glass/bottle of something;Holding a dish;Eating a sandwich;Holding a sandwich;Someone is eating something,Putting a cup/glass/bottle somewhere;Closing a refrigerator,Kitchen
E7ESG,c015 11.10 28.60;c018 13.30 18.50;c016 14.10 20.30;c017 21.80 30.50,Holding a phone/camera;Taking a phone/camera from somewhere;Playing with a phone/camera;Putting a phone/camera somewhere,take the rest;S/He wants to prepare to study,play with a phone;S/He wants to relax,11.1,30.5,267,359,Holding a phone/camera;Taking a phone/camera from somewhere;Playing with a phone/camera,Putting a phone/camera somewhere,Living room
VFD5I,c143 6.80 12.80;c063 8.20 24.80;c061 8.30 25.70;c062 9.50 28.30;c142 26.20 34.00,Opening a refrigerator;Taking food from somewhere;Holding some food;Putting some food somewhere;Closing a refrigerator,put something into the refrigerator;S/He feels ,put something into the refrigerator;S/He wants to make use of the refrigerator,6.8,34,164,293,Opening a refrigerator;Taking food from somewhere;Holding some food;Putting some food somewhere,Closing a refrigerator,Kitchen
CC0PK,c030 1.50 7.00;c026 1.60 18.00;c027 2.20 7.70;c032 3.50 18.00;c029 4.50 18.0,Taking a book from somewhere;Holding a book;Opening a book;Watching/Reading/Looking at a book;Smiling at a book,read a book;S/He wants to learn something new,read a book;S/He wants to learn something,1.5,18,37,115,Taking a book from somewhere;Holding a book;Opening a book;Watching/Reading/Looking at a book;Smiling at a book,,Home Office / Study (A room in a house used for work)
F5UVQ,c121 0.00 22.90;c118 0.00 27.70;c111 4.30 29.80;c119 23.00 30.90,Wash a dish/dishes;Holding a dish;Washing a cup/glass/bottle;Putting a dish/es somewhere,wash a bowl;S/He wants to do the washing up,wash dishes and bowls;S/He wants to do some cleaning,0,30.9,1,148,Wash a dish/dishes;Holding a dish;Washing a cup/glass/bottle,Putting a dish/es somewhere,Kitchen
GPSIM,c120 0.00 14.40;c063 1.40 14.40;c062 2.30 7.70;c118 5.80 21.90;c061 9.40 26.70;c156 18.40 29.80,Taking a dish/es from somewhere;Taking food from somewhere;Putting some food somewhere;Holding a dish;Holding some food;Someone is eating something,eat something;S/He is hungry,eat sandwish and watch tv;S/He is hungry,0,29.8,1,143,Taking a dish/es from somewhere;Taking food from somewhere;Putting some food somewhere;Holding a dish,Holding some food;Someone is eating something,Kitchen
2OHTZ,c120 0.80 6.30;c118 2.00 34.00;c106 6.60 15.50;c107 11.00 25.80,Taking a dish/es from somewhere;Holding a dish;Drinking from a cup/glass/bottle;Holding a cup/glass/bottle of something,drink a bottle of something;S/He is thirsty,operate computer;S/He wants to work on the internet,0.8,34,20,178,Taking a dish/es from somewhere;Holding a dish;Drinking from a cup/glass/bottle,Holding a cup/glass/bottle of something,Garage
6ZKZS,c108 0.00 5.50;c106 1.40 8.10;c128 5.60 21.80;c129 10.50 20.40,Pouring something into a cup/glass/bottle;Drinking from a cup/glass/bottle;Holding some medicine;Taking/consuming some medicine,consume medicine;S/He wants to deal with illness,satisfy the thirsty;S/He wants to deal with illness,0,21.8,1,104,Pouring something into a cup/glass/bottle;Drinking from a cup/glass/bottle,Holding some medicine;Taking/consuming some medicine,Bedroom
ZOMM2,c107 12.60 32.00;c063 20.80 29.00;c069 22.10 30.60;c067 24.10 32.00;c061 24.10 32.00;c156 24.10 32.00;c065 26.10 32.00,Holding a cup/glass/bottle of something;Taking food from somewhere;Taking a sandwich from somewhere;Holding a sandwich;Holding some food;Someone is eating something;Eating a sandwich,eat something;S/He is hungry,eat a sandwich;S/He is hungry,12.6,32,303,395,Holding a cup/glass/bottle of something,Taking food from somewhere;Taking a sandwich from somewhere;Holding a sandwich;Holding some food;Someone is eating something;Eating a sandwich,Living room
HWLBL,c067 0.00 18.40;c066 0.00 18.40;c062 0.00 19.00;c061 2.60 18.90;c063 3.20 17.80;c068 13.90 19.30,Holding a sandwich;Making a sandwich;Putting some food somewhere;Holding some food;Taking food from somewhere;Putting a sandwich somewhere,prepare a sandwich;S/He is hungry,make some food;S/He wants to prepare a meal,0,19.3,1,92,Holding a sandwich;Making a sandwich;Putting some food somewhere;Holding some food;Taking food from somewhere,Putting a sandwich somewhere,Living room
OHNF4,c063 13.70 24.40;c106 13.80 29.00;c110 18.10 23.80;c118 18.30 29.00,Taking food from somewhere;Drinking from a cup/glass/bottle;Taking a cup/glass/bottle from somewhere;Holding a dish,drink water;S/He is thirsty,take medicines;S/He wants to cure her/his illness,13.7,29,329,402,Taking food from somewhere;Drinking from a cup/glass/bottle,Taking a cup/glass/bottle from somewhere;Holding a dish,Bedroom
CUII4,c002 0.40 13.10;c003 3.00 34.80;c148 4.20 28.60;c001 5.70 36.00;c155 24.80 34.80,Taking some clothes from somewhere;Throwing clothes somewhere;Someone is dressing;Putting clothes somewhere;Someone is undressing,wear shirsts and take off it;S/He wants to change clothes,try on clothes;S/He wants to get dressed up,0.4,36,10,180,Taking some clothes from somewhere;Throwing clothes somewhere;Someone is dressing;Putting clothes somewhere,Someone is undressing,Pantry
6EU06,c032 0.00 9.50;c026 0.00 23.90;c030 1.50 6.30;c025 3.80 9.40;c028 6.70 12.60,Watching/Reading/Looking at a book;Holding a book;Taking a book from somewhere;Closing a book;Putting a book somewhere,close books;S/He wants to arrange books,organize books;S/He wants to easy to clean the table,0,23.9,1,114,Watching/Reading/Looking at a book;Holding a book;Taking a book from somewhere;Closing a book,Putting a book somewhere,Living room
1E1EN,c040 0.00 4.20;c043 0.00 4.20;c042 0.00 4.50;c020 0.00 4.80;c004 0.00 6.60;c002 0.00 7.20;c000 0.40 6.90;c001 10.60 31.00;c003 11.70 16.00;c003 16.30 22.20,Holding a box;Taking a box from somewhere;Putting a box somewhere;Holding a bag;Tidying some clothes;Taking some clothes from somewhere;Holding some clothes;Putting clothes somewhere;Throwing clothes somewhere;Throwing clothes somewhere,put some clothes in a box;S/He wants to tidy up some clothes,drink water and put something into a bag;S/He wants to make use of a bag,0,31,1,148,Holding a box;Taking a box from somewhere;Putting a box somewhere;Holding a bag;Tidying some clothes;Taking some clothes from somewhere;Holding some clothes,Putting clothes somewhere;Throwing clothes somewhere;Throwing clothes somewhere,Laundry room
XYGU1,c028 0.00 2.90;c026 0.00 2.90;c027 11.80 20.50;c032 14.40 32.00,Putting a book somewhere;Holding a book;Opening a book;Watching/Reading/Looking at a book,read a book;S/He wants to learn something,read a book and drink coffee;S/He wants to enjoy the time,0,32,1,153,Putting a book somewhere;Holding a book,Opening a book;Watching/Reading/Looking at a book,Kitchen
GMLPK,c069 11.00 22.40;c065 11.90 35.20;c063 16.50 22.80;c067 16.70 25.70;c118 17.80 44.00;c061 19.50 37.80;c062 33.40 38.70;c120 37.10 44.00,Taking a sandwich from somewhere;Eating a sandwich;Taking food from somewhere;Holding a sandwich;Holding a dish;Holding some food;Putting some food somewhere;Taking a dish/es from somewhere,eat food;S/He is hungry,eat a sandwish;S/He is hungry,11,44,265,422,Taking a sandwich from somewhere;Eating a sandwich;Taking food from somewhere;Holding a sandwich,Holding a dish;Holding some food;Putting some food somewhere;Taking a dish/es from somewhere,Living room
AD28I,c102 2.20 10.00;c127 6.00 12.60;c100 14.80 20.00;c098 15.50 22.30;c099 30.90 36.00,Tidying up with a broom;Tidying something on the floor;Taking a broom from somewhere;Holding a broom;Putting a broom somewhere,play with a broom;S/He wants to entertain someone,play with a broom;S/He wants to have fun,2.2,36,53,215,Tidying up with a broom;Tidying something on the floor,Taking a broom from somewhere;Holding a broom;Putting a broom somewhere,Hallway
A1BS2,c037 0.60 16.80;c035 0.90 6.10;c038 0.90 6.50;c033 1.10 15.80;c034 10.60 17.00,Tidying up a towel/s;Taking a towel/s from somewhere;Washing something with a towel;Holding a towel/s;Putting a towel/s somewhere,fold the towel;S/He wants to tidy up the bathroom,make use of a towel;S/He wants to clean the washroom,0.6,17,15,93,Tidying up a towel/s;Taking a towel/s from somewhere;Washing something with a towel;Holding a towel/s,Putting a towel/s somewhere,Bathroom
ZUKHZ,c128 4.00 13.50;c107 4.60 14.70;c061 10.70 17.60;c067 10.70 17.80;c065 12.20 17.50;c156 12.20 17.70,Holding some medicine;Holding a cup/glass/bottle of something;Holding some food;Holding a sandwich;Eating a sandwich;Someone is eating something,take medicines;S/He wants to cure disease,eat a sandwich;S/He is hungry,4,17.8,97,162,Holding some medicine;Holding a cup/glass/bottle of something,Holding some food;Holding a sandwich;Eating a sandwich;Someone is eating something,Stairs
A0CZE,c143 11.60 18.50;c142 14.60 21.50;c110 16.00 22.10;c107 16.80 31.00;c106 18.40 27.30,Opening a refrigerator;Closing a refrigerator;Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,drink something;S/He is thirsty,drink something after taking from a refrigerator;S/He is thirsty,11.6,31,279,371,Opening a refrigerator;Closing a refrigerator,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,Living room
R5L98,c141 1.60 8.00;c006 15.90 26.80;c008 23.10 29.00;c097 24.30 31.00,Grasping onto a doorknob;Closing a door;Opening a door;Walking through a doorway,walk through the doorway;S/He wants to enter the room,close a door after walking through it;S/He wants to go into the room,1.6,31,39,179,Grasping onto a doorknob,Closing a door;Opening a door;Walking through a doorway,Bedroom
F8E8C,c110 11.30 16.10;c107 11.30 16.90;c106 12.60 26.10;c109 22.60 27.10,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle;Putting a cup/glass/bottle somewhere,drink water;S/He wants to get comfortable,drink water;S/He is thirsty,11.3,27.1,272,347,Taking a cup/glass/bottle from somewhere;Holding a cup/glass/bottle of something;Drinking from a cup/glass/bottle,Putting a cup/glass/bottle somewhere,Bedroom
P7TT1,c004 3.00 32.00;c000 3.60 11.50;c002 5.80 15.00;c001 7.60 12.50;c000 8.50 17.10;c001 13.10 17.40;c000 14.20 22.20;c001 18.20 22.50,Tidying some clothes;Holding some clothes;Taking some clothes from somewhere;Putting clothes somewhere;Holding some clothes;Putting clothes somewhere;Holding some clothes;Putting clothes somewhere,do the laundry;S/He wants to fetch clothes,fold the clothes;S/He wants to arrange the clothes,3,32,73,211,Tidying some clothes;Holding some clothes;Taking some clothes from somewhere;Putting clothes somewhere;Holding some clothes,Putting clothes somewhere;Holding some clothes;Putting clothes somewhere,Bathroom
